COUNTRY,INDICATOR,SCALE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Italy,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,8511.792,7706.659,7610.37,7892.058,7797.171,8048.61,11397.445,14305.851,15845.543,16468.564,20536.935,21674.463,22988.054,18469.667,19043.086,20722.958,23135.807,21913.138,22395.127,22074.693,20205.515,20576.46,22473.552,27673.263,31451.559,32148.046,33602.692,37989.367,40968.981,37143.445,35963.743,38475.823,34926.415,35722.542,36022.564,30609.504,31357.601,32797.298,35042.793,33767.024,31956.874,36812.887,35671.989,39074.242,40224.012,41091.258,42511.632,43610.442,44821.373,46106.773,47464.192
Ireland,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,6254.118,5888.167,6080.001,5841.617,5593.519,5936.362,7995.593,9422.385,10368.452,10757.903,13648.961,13752.398,15336.579,14267.157,15460.077,19092.631,20787.743,22475.477,24209.898,26236.841,26187.426,28120.751,32482.159,40939.423,47387.991,50475.16,53737.841,60769.642,60989.707,51943.659,48636.309,52631.463,49386.473,52544.104,57175.016,64154.626,63933.925,71869.427,80411.7,81504.874,86309.503,103766.935,104717.913,103456.813,106455.886,108919.254,112169.128,115404.128,119657.468,123958.874,128609.63
Indonesia,"Gross domestic product (GDP), Current prices, US dollar",Billions,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.346,279.344,310.92,396.518,470.092,558.291,578.577,755.094,892.969,917.87,912.524,890.815,860.854,931.877,1015.619,1042.272,1119.1,1059.055,1186.51,1319.101,1371.169,1396.3,1429.743,1535.057,1649.352,1779.011,1916.671,2065.514
India,"Gross domestic product (GDP), Current prices, US dollar",Billions,186.17,193.153,200.035,218.218,211.843,233.52,248.398,278.864,294.479,296.043,320.979,270.105,288.21,279.295,327.275,360.281,392.902,415.895,421.378,458.821,468.396,485.44,514.938,607.701,709.152,820.385,940.26,1216.736,1198.895,1341.889,1675.615,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2674.852,3167.271,3346.107,3638.49,3909.097,4187.017,4601.225,5069.47,5584.476,6148.426,6769.816
Indonesia,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.465,1279.721,1404.348,1765.794,2064.003,2416.785,2469.384,3177.453,3690.097,3739.917,3667.435,3532.669,3373.489,3604.99,3885.967,3945.583,4192.768,3919.465,4351.304,4784.207,4919.943,4958.385,5026.539,5344.934,5689.773,6082.487,6497.225,6944.523
India,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,267.167,270.951,274.332,292.585,277.683,299.291,311.323,341.864,353.207,347.464,368.75,303.85,317.56,301.5,346.227,373.627,399.583,414.926,412.536,440.962,442.036,449.91,468.845,543.845,624.108,710.512,802.014,1022.732,993.503,1096.637,1350.634,1449.604,1434.018,1438.057,1559.864,1590.174,1714.28,1957.97,1974.378,2050.163,1915.552,2250.179,2361.114,2546.842,2711.412,2878.453,3135.992,3426.293,3743.772,4089.489,4468.543
Japan,"Gross domestic product (GDP), Current prices, US dollar",Billions,1129.378,1245.221,1158.731,1270.86,1345.825,1427.02,2120.084,2580.749,3125.725,3109.455,3185.904,3648.066,3980.703,4536.941,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5054.069,5039.148,4262.146,4213.167,4026.211,4186.431,4373.091,4520.523,4708.707,4828.281,4994.892
Japan,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,9671.861,10586.534,9782.353,10655.246,11210.518,11813.035,17457.069,21148.365,25506.113,25274.314,25809.663,29436.88,32007.708,36362.508,39953.203,44210.234,39164.322,35651.27,32436.929,36622.892,39172.971,34410.68,32832.296,35410.229,38307.103,37819.107,36021.9,35847.232,39992.06,41469.773,45135.796,48760.915,49175.035,40934.756,38522.771,35005.662,39411.424,38903.298,39850.331,40547.967,40159.866,40155.188,34080.084,33845.481,32498.146,33955.711,35653.195,37053.899,38812.578,40029.247,41659.412
Mexico,"Gross domestic product (GDP), Current prices, US dollar",Billions,242.153,311.012,225.706,184.01,217.001,230.272,159.434,174.84,213.893,260.663,307.613,368.772,427.661,530.226,553.618,380.182,432.158,523.45,557.485,631.24,742.061,796.055,810.666,765.55,819.459,917.572,1020.265,1102.356,1161.553,943.437,1105.424,1229.014,1255.11,1327.436,1364.508,1213.294,1112.233,1190.721,1256.3,1304.106,1121.065,1316.569,1466.465,1793.799,1852.723,1692.64,1775.296,1863.832,1959.01,2053.884,2151.879
Malaysia,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2586.278,2885.568,3378.909,3716.921,4029.272,4671.084,5175.901,5012.378,3521.119,3762.769,4347.73,4189.053,4441.824,4740.324,5244.873,5678.332,6351.127,7480.893,8766.175,7543.882,9046.978,10397.902,10806.823,10851.657,11165.249,9663.122,9523.316,9965.123,11079.617,11228.293,10400.219,11474.232,12483.323,12090.6,12540.71,13144.983,13878.99,14561.83,15288.654,16008.549,16817.186
Mexico,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,3557.305,4461.156,3162.5,2519.488,2904.686,3015.01,2043.27,2194.692,2631.484,3144.69,3640.26,4281.697,4873.452,5933.292,6086.828,4109.778,4597.153,5484.708,5759.186,6435.62,7467.739,7902.129,7934.694,7390.343,7806.561,8626.151,9456.912,10063.621,10438.499,8346.772,9632.818,10554.35,10631.077,11099.184,11272.395,9915.089,8999.57,9542.783,9970.967,10251.145,8744.029,10207.315,11283.919,13678.989,14006.661,12691.551,13208.332,13766.225,14370.506,14969.914,15589.488
Norway,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,15746.262,15484.681,15196.29,14906.174,14968.787,15728.224,18853.038,22445.038,24143.118,24245.515,28187.293,28514.498,30432.89,27880.632,29236.375,34790.001,37225.29,36561.409,34732.137,36300.553,38094.597,38553.843,43083.871,50161.513,57676.821,66924.047,74255.799,85276.992,97119.989,80115.693,87823.805,100815.931,101779.186,103214.973,97302.705,74568.136,70629.25,75940.152,82605.966,76303.704,68275.277,92955.249,108908.039,87276.15,86611.173,89693.652,91983.999,94472.385,96800.038,99243.514,101857.437
Peru,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,1150.686,1356.398,1316.278,999.442,1006.416,851.139,1248.386,2015.875,1560.368,1885.285,1285.664,1511.937,1543.242,1469.214,1815.739,2119.375,2163.399,2238.263,2106.752,1872.791,1910.357,1910.299,1998.363,2147.735,2405.294,2677.739,3130.79,3633.714,4286.515,4279.172,5200.933,5928.493,6638.829,6920.082,6880.901,6436.053,6453.923,6992.244,7210.677,7251.682,6328.104,6849.342,7318.6,7929.864,8485.019,8814.375,9181.794,9504.893,9824.631,10168.383,10528.583
Philippines,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,1094.543,1237.311,1316.406,1279.835,988.487,1112.353,1087.287,1003.957,1050.297,1062.619,1137.068,1261.241,1470.825,1764.683,2011.634,1923.674,2237.157,2473.249,2721.252,2903.189,2995.504,3039.234,3107.646,3153.314,3279.519,3512.195,3312.739,3580.009,3644.792,3905.419,4078.977,4349.735,4661.205,5017.032,5405.447,5827.386,6283.209
Pakistan,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,479.064,550.438,584.379,530.372,560.154,545.174,543.594,553.482,621.142,631.367,615.815,684.45,713.395,735.815,723.052,823.987,839.336,807.501,784.545,725.396,733.461,696.936,689.971,771.761,885.149,948.828,1032.277,1146.082,1228.232,1108.978,1137.985,1301.736,1377.776,1390.648,1423.889,1535.348,1566.625,1653.406,1698.034,1500.683,1376.512,1565.575,1651.323,1459.297,1581.174,,,,,,
Singapore,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,5004.992,5672.105,6000.032,6717.837,7160.262,6788.387,6870.769,7794.688,9328.951,10725.743,12763.342,14501.96,16136.244,18290.132,21552.408,24914.851,26232.869,26375.868,21829.278,21796.642,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,57005.574,61236.251,66881.623,65952.022,61410.094,80056.109,90299.091,85412.252,90674.044,92932.142,95729.27,99112.942,102739.623,106590.186,110562.49
Romania,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,2052.081,2450.352,2441.211,2125.157,1710.302,2101.997,2264.368,2517.949,2593.057,2314.744,1641.855,1241.063,847.68,1147.325,1317.048,1563.117,1565.472,1571.689,1885.349,1600.881,1667.613,1800.966,2108.445,2672.061,3487.699,4608.801,5744.634,8273.885,10446.423,8540.592,8392.775,9547.264,8918.587,9482.448,10025.886,8951.798,9379.115,10717.275,12473.519,12962.103,13056.738,14935.34,15592.939,18412.783,20278.199,21421.047,22676.108,23999.599,25457.061,27068.804,28809.465
Saudi Arabia,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,19543.4,20846.201,16507.688,13252.641,11688.011,9666.717,7698.924,7221.944,7083.177,7287.351,8562.256,9143.234,9242.65,8740.725,8663.672,8957.496,9666.949,9858.984,8512.519,9144.592,10448.562,9898.29,9937.43,11027.928,12891.345,15943.431,17827.397,19196.07,23403.651,18836.967,22028.379,26966.305,28348.563,27290.188,27079.673,22453.58,21515.651,23081.196,28036.026,27892.842,23271.404,28396.104,34454.196,31676.444,30746.453,30098.871,30562.895,31524.309,32518.884,33536.625,34566.669
Saudi Arabia,"Gross domestic product (GDP), Current prices, US dollar",Billions,164.54,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.474,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.776,161.717,189.515,184.138,189.606,215.808,258.742,328.205,376.398,415.687,519.797,429.098,528.207,676.635,741.85,753.864,766.606,669.485,666.0,714.994,846.584,838.565,734.271,874.157,1108.571,1067.583,1085.358,1083.749,1122.465,1180.93,1242.552,1307.069,1374.158
Portugal,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,3338.767,3296.657,3095.098,2838.658,2596.078,2716.647,3774.586,4724.455,5532.625,5977.583,7957.251,9026.309,10863.496,9547.652,9977.624,11787.326,12187.521,11594.778,12216.689,12487.675,11531.467,11734.855,12927.547,15793.822,18055.962,18790.508,19840.493,22813.754,24946.304,23126.079,22570.36,23224.224,20574.028,21642.244,22086.991,19173.726,19914.852,21352.268,23436.023,23192.2,22093.25,24618.869,24558.6,27394.2,28917.901,30002.01,31465.405,32636.089,33935.497,35285.407,36652.819
Switzerland,"Gross domestic product (GDP), Current prices, US dollar",Billions,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,353.094,340.241,294.824,303.238,297.581,279.305,286.78,309.579,362.132,403.461,418.265,441.898,491.075,566.938,553.873,598.339,715.864,686.553,706.748,726.634,693.805,687.771,695.544,725.91,721.867,741.288,814.699,828.522,894.867,936.738,947.125,990.523,1028.968,1074.152,1113.974,1162.661
Spain,"Gross domestic product (GDP), Current prices, US dollar",Billions,231.048,204.843,197.89,173.072,172.597,181.847,251.618,318.787,374.535,413.106,536.322,577.166,630.91,529.98,531.801,614.713,642.48,590.5,619.541,635.025,598.367,627.803,708.437,907.736,1069.344,1155.306,1261.914,1476.92,1635.936,1494.963,1429.155,1487.307,1331.838,1362.207,1380.6,1206.287,1242.673,1321.288,1432.292,1403.651,1288.751,1462.216,1447.636,1620.558,1722.227,1799.511,1886.218,1961.594,2037.746,2117.209,2201.213
Spain,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,6118.91,5373.904,5163.843,4495.142,4465.003,4687.776,6467.667,8175.112,9584.39,10550.417,13673.271,14675.641,15989.337,13389.752,13399.66,15452.589,16113.303,14770.651,15442.962,15747.58,14714.351,15299.106,16936.981,21334.669,24698.252,26251.002,28177.362,32339.713,35379.801,32158.985,30624.424,31767.697,28511.285,29297.451,29737.831,25986.986,26725.642,28326.416,30526.94,29664.183,27188.392,30792.106,30105.547,33325.44,35091.647,36192.363,37488.718,38583.541,39726.892,40968.4,42327.576
Switzerland,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,19426.638,17699.844,18027.725,17865.396,17019.366,17187.864,24529.567,30520.621,32794.286,31440.365,39842.782,39811.005,40883.18,39375.507,43226.544,50305.424,48179.119,41635.951,42733.586,41771.618,38987.268,39841.678,42665.247,49512.203,54788.297,56408.02,59243.549,65398.227,74665.843,71912.927,76848.009,90961.101,86304.629,87914.911,89267.103,84220.118,82595.245,82606.13,85562.182,84478.285,86136.149,93967.642,94807.399,101516.399,104523.348,104895.588,108928.603,112358.691,116465.628,119931.838,124291.156
Sweden,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,16779.521,15307.597,13498.006,12398.756,12901.006,13471.051,17749.347,21504.057,24198.345,25265.03,30078.707,31307.878,32396.206,24316.028,25940.638,30218.291,33009.711,30319.117,30594.173,30956.584,29596.993,27219.096,29904.825,37219.938,42673.53,43291.52,46364.062,53365.592,55596.078,46496.896,52333.874,60165.568,57529.127,60563.645,59270.463,50928.576,51446.757,52971.455,53890.765,51528.899,52522.605,60961.254,55115.015,55487.701,57625.095,58100.193,60358.095,62503.134,64559.359,66692.76,68920.941
South Africa,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,3074.684,3122.686,2806.158,3062.892,2633.905,1955.165,2176.064,2801.31,2954.825,3004.44,3425.585,3587.879,3802.578,3716.193,3786.21,4145.21,3869.7,3937.658,3508.14,3423.595,3382.066,2964.029,2778.115,4191.4,5392.861,6007.979,6250.883,6752.256,6337.933,6538.166,8118.173,8784.648,8185.718,7431.908,6952.314,6222.526,5721.189,6647.093,6956.41,6582.757,5630.983,6938.723,6629.419,6111.746,6331.913,6396.921,6516.343,6648.51,6792.447,6935.937,7093.29
Thailand,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,705.484,744.913,767.41,824.445,845.08,772.393,840.315,967.712,1160.538,1338.257,1564.175,1769.043,1999.204,2209.362,2491.433,2846.59,3043.982,2468.182,1845.829,2033.26,2007.735,1893.264,2096.189,2359.116,2660.126,2894.06,3369.545,3973.019,4379.659,4213.01,5076.339,5492.115,5860.583,6168.268,5951.877,5840.05,5993.308,6593.816,7298.941,7812.886,7169.943,7236.434,7072.748,7350.89,7491.686,7766.698,7911.66,8152.057,8434.403,8750.87,9097.932
United Kingdom,"Gross domestic product (GDP), Current prices, US dollar",Billions,604.697,588.342,559.326,532.925,504.939,537.2,655.035,814.102,989.706,1007.623,1197.021,1248.625,1289.587,1155.162,1241.72,1344.504,1421.099,1561.239,1653.852,1688.248,1668.69,1650.252,1788.549,2056.294,2422.619,2546.038,2712.257,3091.695,2960.39,2421.476,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3371.118,3644.636,3839.18,4040.844,4239.513,4457.367,4701.933,4955.988
United Kingdom,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,10734.896,10439.364,9936.331,9463.11,8951.397,9498.885,11555.907,14331.774,17388.88,17653.75,20913.04,21738.274,22394.494,20015.28,21460.02,23171.12,24432.614,26772.972,28283.064,28768.448,28337.638,27916.906,30127.493,34480.168,40410.653,42143.874,44589.681,50419.848,47884.16,38892.333,39641.869,42106.64,42501.709,43469.644,47468.211,44978.619,41114.514,40617.562,43275.096,42712.614,40230.545,46731.477,46233.787,49213.399,52648.187,54949.056,57386.693,59827.807,62596.341,65717.49,68948.092
United States,"Gross domestic product (GDP), Current prices, US dollar",Billions,2857.325,3207.025,3343.8,3634.025,4037.65,4339.0,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295.0,18804.9,19612.1,20656.525,21539.975,21354.125,23681.175,26006.9,27720.725,29184.9,30507.217,31717.641,32941.71,34342.132,35712.824,37153.089
United States,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65561.32,64454.224,71231.559,77801.397,82253.907,85812.176,89105.202,92096.549,95087.362,98547.417,101880.842,105370.679
Vietnam,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,652.593,318.521,414.347,612.565,1044.409,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3216.254,3439.102,3548.892,3756.885,4132.93,4316.74,4535.756,4805.842,5041.887,5334.298,5640.994,5957.564,6289.507
United Arab Emirates,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Units,41311.881,42237.276,36927.264,32717.479,29957.847,27912.523,21198.712,22345.786,19032.876,21142.453,27484.598,25577.028,25833.806,25033.005,25737.492,26309.298,29821.12,29909.645,26571.562,27833.669,32495.862,30877.714,30969.024,32166.941,34944.807,39389.226,45239.607,46090.439,48548.6,37428.383,43096.618,49814.08,51014.0,51004.352,50060.345,42373.624,40436.026,41925.188,45533.526,43939.817,37621.04,42103.083,48861.364,48146.063,48830.171,49498.384,51715.486,54662.004,57765.444,60993.448,64227.527
