COUNTRY,INDICATOR,SCALE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Peru,"Gross domestic product (GDP), Current prices, US dollar",Billions,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.308,121.892,149.23,171.369,193.276,203.042,203.785,192.85,196.348,216.578,227.583,233.004,206.461,226.268,244.419,267.482,289.07,303.293,319.095,333.627,348.299,364.09,380.757
Philippines,"Gross domestic product (GDP), Current prices, US dollar",Billions,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.42,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.353,437.055,461.617,497.495,538.789,586.087,638.178,695.311,757.672
Portugal,"Gross domestic product (GDP), Current prices, US dollar",Billions,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.386,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.639,245.383,216.674,226.681,230.138,199.059,206.249,220.785,242.203,240.142,229.435,256.226,257.101,289.781,308.59,321.44,336.265,347.893,360.829,374.432,388.164
Romania,"Gross domestic product (GDP), Current prices, US dollar",Billions,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.447,40.396,46.035,57.79,75.059,98.547,122.114,174.831,215.567,174.572,170.329,192.846,179.228,189.839,199.989,177.878,185.337,210.53,243.651,251.652,252.372,286.783,296.928,350.847,384.148,403.395,424.375,446.232,470.105,496.488,524.867
Singapore,"Gross domestic product (GDP), Current prices, US dollar",Billions,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,319.646,343.673,377.124,376.162,349.166,436.591,509.018,505.44,547.387,564.774,585.946,611.464,639.122,667.781,698.073
South Africa,"Gross domestic product (GDP), Current prices, US dollar",Billions,89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,405.093,389.245,337.876,420.778,406.755,380.592,400.191,410.338,424.241,439.31,455.523,472.093,490.013
Sweden,"Gross domestic product (GDP), Current prices, US dollar",Billions,139.571,127.406,112.404,103.289,107.628,112.593,148.766,180.937,204.691,215.436,258.395,270.629,281.588,212.646,228.703,267.054,291.954,268.252,270.891,274.319,262.904,242.498,267.373,334.074,384.548,391.691,422.528,490.052,514.617,434.313,492.753,570.541,549.742,584.128,577.73,501.698,514.218,536.084,551.312,532.169,545.148,637.187,579.896,585.49,610.118,620.297,649.462,677.464,704.54,732.485,761.499
Thailand,"Gross domestic product (GDP), Current prices, US dollar",Billions,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.296,134.301,152.281,172.896,189.318,221.758,262.943,291.383,281.711,341.105,370.819,397.558,420.334,407.339,401.296,413.366,456.357,506.754,543.977,500.462,506.195,495.645,515.906,526.411,546.224,556.756,573.857,593.755,616.061,640.494
United Arab Emirates,"Gross domestic product (GDP), Current prices, US dollar",Billions,41.725,46.461,43.205,39.588,39.245,38.519,30.526,33.519,34.069,39.325,50.682,49.3,51.952,52.144,57.395,63.432,72.853,77.167,75.304,84.42,102.987,103.312,109.816,124.346,147.812,180.616,222.117,257.883,315.464,253.547,300.189,360.833,384.61,400.219,414.105,370.276,369.255,390.517,427.049,417.99,349.473,415.179,502.732,514.13,537.079,548.598,577.424,614.689,654.065,695.217,736.811
Vietnam,"Gross domestic product (GDP), Current prices, US dollar",Billions,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,411.068,433.008,459.472,490.97,518.999,553.437,589.412,626.91,666.539
